id,lng,lat,tract2,tract,Year,City,LACity,Community_Name,Detailed_Name,SPA,SD,CD,ca_ssd,ca_sad,us_cd,DemogSurvCt,YouthSurvCt,SheltHmisCt,ShelterCountAny,StreetCountAny,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamEncampHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamEncampPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndEncampPeople,totYouthFamHH,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
920,-118.4027749,33.99987042,916,916,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,54,37,1,0,0,0,1,0,0,0,1,0,6,0,2,2,0,13,0,4,0,0,0,0,0,0,0,1,0,0,1,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
921,-118.410438,33.99691628,917,917,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,37,0,0,0,0,1,5,0,0,1,3,6,1,1,2,5,13,2,2,0,0,0,0,0,0,0,1,0,0,1,5,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
922,-118.4203753,33.99635053,918,918,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,37,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
923,-118.4334038,33.98187715,919,919,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,33,0,0,0,0,1,2,0,0,1,1,4,2,2,2,2,8,3,4,0,0,0,0,0,0,0,0,0,0,1,2,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
924,-118.4226809,33.98792128,920,920,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,37,6,0,0,0,1,0,0,0,0,4,6,0,0,0,7,13,0,0,0,0,0,0,0,0,0,1,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
925,-118.4377247,33.99131809,921,921,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,54,37,0,0,0,0,1,4,0,0,0,0,7,0,2,0,0,15,0,4,0,0,0,0,0,0,0,1,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
926,-118.4130942,33.99137636,922,922,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,37,0,0,0,0,1,0,0,0,0,2,6,0,0,0,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
927,-118.4133834,33.97968042,923,923,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,43,0,0,0,0,1,5,0,0,1,3,5,0,2,2,5,10,0,4,0,0,0,0,0,0,0,1,0,0,1,5,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26
928,-118.4049024,33.98598403,924,924,2017,Los Angeles,1,Del Rey,Del Rey NC,5,2,11,26,62,37,0,0,0,0,1,4,0,0,2,0,17,1,0,3,0,36,2,0,0,0,1,0,0,0,0,2,0,0,3,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44
929,-118.387851,33.97295984,925,925,2017,Los Angeles,1,Westchester/Playa Del Rey,Westchester/Playa NC,5,2,11,26,62,43,0,0,0,0,1,2,0,0,2,1,4,0,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
